,Date,Code,Service,Staff
0,2018-04-13,,SHCW,JJ
1,2018-07-27,AMAB01,SHCM,KELLY
2,2018-06-07,APPS01,SBD,KELLY
3,2018-06-05,ASIS01,SHCW,KELLY
4,2018-05-31,BISD01,CON,SINEAD
5,2018-06-05,BISS01,SHCW,BECKY
6,2018-06-05,BISS01,CHLPL,JOANNE
7,2018-05-30,BOYL01,CON,SINEAD
8,2018-04-27,CARC01,CON,JJ
9,2018-06-20,CARK01,CTU,KELLY
10,2018-04-19,CASH01,CON,JJ
11,2018-05-12,CASH01,CON,JJ
12,2018-04-10,CULT01,CON,SINEAD
13,2018-06-01,CYRA01,CON,BECKY
14,2018-07-05,DHOA01,SBD,JJ
15,2018-04-19,DODK01,CON,SINEAD
16,2018-03-23,DUFD01,CON,JJ
17,2018-05-04,DUFD01,CON,JJ
18,2018-06-08,DUFD01,CON,JJ
19,2018-07-13,DUFD01,CON,JJ
20,2018-05-31,ERWS01,CON,JJ
21,2018-07-03,ESKR01,CON,JJ
22,2018-06-29,FIOJ01,SHCW,KELLY
23,2018-05-01,HENI01,FRI,JJ
24,2018-05-15,HENI01,CON,JOANNE
25,2018-07-25,HENI01,FRI,JJ
26,2018-03-24,HIMJ01,CON,JJ
27,2018-03-14,JUNJ01,CON,JJ
28,2018-06-02,KIRR01,SHCM,BECKY
29,2018-06-19,KIRR01,SHCM,BECKY
30,2018-05-09,KRIJ01,SHCW,JJ
31,2018-04-11,KUKK01,CON,SINEAD
32,2018-07-12,LIMJ01,SHCM,BECKY
33,2018-05-31,MANL01,CON,SINEAD
34,2018-04-12,MARK01,FRI,BECKY
35,2018-06-29,MARK01,CON,BECKY
36,2018-07-26,MOOJ01,CHLHH,KELLY
37,2018-03-14,NORJ01,SHCM,JJ
38,2018-07-24,NOTA01,SBD,BECKY
39,2018-06-02,OHLJ01,CFC,JOANNE
40,2018-07-04,OZDC02,CON,JOANNE
41,2018-04-18,PHIC01,SHCW,SINEAD
42,2018-04-10,PUGS01,CON,JJ
43,2018-06-23,REDM01,CON,JJ
44,2018-07-29,RIHM01,SBD,BECKY
45,2018-05-10,RODP01,CON,JOANNE
46,2018-06-21,ROSD02,CON,HOUSE
47,2018-05-06,ROUT01,CDPB,JJ
48,2018-06-17,ROUT01,CDPB,JJ
49,2018-07-29,SEEK01,SBD,BECKY
50,2018-06-19,TAMA01,CON,KELLY
51,2018-06-16,TAYE01,SHCM,JJ
52,2018-05-05,TURA01,CBAL,HOUSE
53,2018-07-29,TYRA01,SHCW,JJ
54,2018-07-04,VELA01,CON,JJ
55,2018-05-25,WAGW01,SHCM,KELLY
56,2018-06-28,WEES01,CON,JJ
57,2018-07-10,WELN01,SHCW,JJ
58,2018-04-03,WONM02,SBD,JJ
59,2018-07-29,WONM02,SBD,JJ
